file,scenario,policy,seed,noise_profile,noise_rate,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,path_length,elapsed_seconds,simulation_steps
majority-vote__clear__noise-0.3__seed-06.json,clear,majority-vote,6,random,0.3,True,True,False,False,3,4.640001406893134,0.8822239954024553,350
majority-vote__clear__noise-0.3__seed-07.json,clear,majority-vote,7,random,0.3,True,True,False,False,3,4.640001406893134,1.0924340300261974,350
majority-vote__clear__noise-0.3__seed-08.json,clear,majority-vote,8,random,0.3,True,True,False,True,3,5.135999085381627,0.9529807232320309,381
majority-vote__clear__noise-0.3__seed-09.json,clear,majority-vote,9,random,0.3,True,True,False,False,3,4.640001406893134,0.8944309875369072,350
majority-vote__clear__noise-0.3__seed-10.json,clear,majority-vote,10,random,0.3,True,True,False,False,3,4.640001406893134,1.0248799826949835,350
majority-vote__clear__noise-0.3__seed-11.json,clear,majority-vote,11,random,0.3,True,True,False,False,3,4.640001406893134,0.9982693921774626,350
majority-vote__clear__noise-0.3__seed-12.json,clear,majority-vote,12,random,0.3,True,True,False,False,3,4.640001406893134,0.9283986315131187,350
majority-vote__clear__noise-0.3__seed-13.json,clear,majority-vote,13,random,0.3,True,True,False,False,3,4.640001406893134,0.9494419973343611,350
majority-vote__clear__noise-0.3__seed-14.json,clear,majority-vote,14,random,0.3,True,True,False,False,3,4.640001406893134,0.9706511329859495,350
majority-vote__clear__noise-0.3__seed-15.json,clear,majority-vote,15,random,0.3,True,True,False,False,3,4.640001406893134,0.9439495112746954,350
majority-vote__clear__noise-0.3__seed-16.json,clear,majority-vote,16,random,0.3,True,True,False,False,3,4.640001406893134,0.9799254424870014,350
majority-vote__clear__noise-0.3__seed-17.json,clear,majority-vote,17,random,0.3,True,True,False,False,3,4.640001406893134,0.9621596056967974,350
majority-vote__clear__noise-0.3__seed-18.json,clear,majority-vote,18,random,0.3,True,True,False,False,3,4.640001406893134,0.9197854157537222,350
majority-vote__clear__noise-0.3__seed-19.json,clear,majority-vote,19,random,0.3,True,True,False,False,3,4.640001406893134,0.9610017277300358,350
purify__blocked__noise-0.0__seed-00.json,blocked,purify,0,random,0.0,True,True,False,False,2,5.135999085381627,0.9512018896639347,361
purify__blocked__noise-0.0__seed-01.json,blocked,purify,1,random,0.0,True,True,False,False,2,5.135999085381627,0.9812979567795992,361
purify__blocked__noise-0.0__seed-02.json,blocked,purify,2,random,0.0,True,True,False,False,2,5.135999085381627,0.9562362059950829,361
purify__blocked__noise-0.0__seed-03.json,blocked,purify,3,random,0.0,True,True,False,False,2,5.135999085381627,0.9557517096400261,361
purify__blocked__noise-0.0__seed-04.json,blocked,purify,4,random,0.0,True,True,False,False,2,5.135999085381627,0.9475737418979406,361
purify__blocked__noise-0.0__seed-05.json,blocked,purify,5,random,0.0,True,True,False,False,2,5.135999085381627,0.9942710660398006,361
purify__blocked__noise-0.0__seed-06.json,blocked,purify,6,random,0.0,True,True,False,False,2,5.135999085381627,0.9830263964831829,361
purify__blocked__noise-0.0__seed-07.json,blocked,purify,7,random,0.0,True,True,False,False,2,5.135999085381627,0.9750070590525866,361
purify__blocked__noise-0.0__seed-08.json,blocked,purify,8,random,0.0,True,True,False,False,2,5.135999085381627,0.9453291948884726,361
purify__blocked__noise-0.0__seed-09.json,blocked,purify,9,random,0.0,True,True,False,False,2,5.135999085381627,0.9736545719206333,361
purify__blocked__noise-0.0__seed-10.json,blocked,purify,10,random,0.0,True,True,False,False,2,5.135999085381627,0.9855500143021345,361
purify__blocked__noise-0.0__seed-11.json,blocked,purify,11,random,0.0,True,True,False,False,2,5.135999085381627,0.990175649523735,361
purify__blocked__noise-0.0__seed-12.json,blocked,purify,12,random,0.0,True,True,False,False,2,5.135999085381627,0.9324162639677525,361
purify__blocked__noise-0.0__seed-13.json,blocked,purify,13,random,0.0,True,True,False,False,2,5.135999085381627,0.994613328948617,361
purify__blocked__noise-0.0__seed-14.json,blocked,purify,14,random,0.0,True,True,False,False,2,5.135999085381627,0.977257888764143,361
purify__blocked__noise-0.0__seed-15.json,blocked,purify,15,random,0.0,True,True,False,False,2,5.135999085381627,1.0561791006475687,361
